Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1429,2,2,15,4,4,3,4,2,2,3,3,4,4,3,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,2,3,4,4,4,4,3,3,3,5,4
1430,2,2,15,3,4,4,3,3,3,4,4,4,3,2,3,4,2,3,2,2,1,3,4,4,3,3,3,3,1,3,3,3,3,5,4,4,3,4,4,5
1431,2,2,14,3,3,4,4,3,4,2,3,3,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4
1432,2,1,15,4,3,4,4,4,3,2,3,1,4,3,4,4,4,4,4,4,4,3,4,1,3,4,4,4,2,3,4,4,4,5,5,5,5,5,5,5
1433,2,1,16,3,1,1,1,4,3,1,1,2,4,4,3,4,3,4,4,3,4,3,1,3,4,4,4,3,2,3,1,1,2,2,1,3,1,1,1,1
1434,2,2,14,4,4,2,4,2,3,2,3,3,4,3,3,4,4,4,4,4,4,3,2,3,2,3,4,3,2,2,4,4,4,5,5,5,4,3,5,5
1435,2,1,15,4,4,3,4,3,2,4,3,3,3,4,2,3,4,2,4,3,3,4,3,4,3,2,4,4,3,4,3,4,3,2,4,3,5,4,5,3
1436,2,1,15,4,4,4,4,3,2,,4,3,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,4,2,,2,4,3,4,4,4,4,3,4,3
1437,2,1,15,3,4,3,3,4,4,3,3,2,3,4,4,3,3,3,4,4,4,2,3,2,2,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4
1438,2,2,15,3,3,3,4,4,4,2,2,3,4,3,4,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,5
