"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"1097",1,2,13,3.66666666666667,3.33333333333333,4,3.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667,4,3.66666666666667,3.66666666666667,3,3.33333333333333
"1098",3,2,16,3,4,3.66666666666667,4,3,4,3.66666666666667,4,3.66666666666667,4,3,3.33333333333333
"1099",2,2,13,2.66666666666667,3.33333333333333,1.66666666666667,3.66666666666667,2.33333333333333,4,2.33333333333333,3.66666666666667,2.33333333333333,3.66666666666667,3,3.33333333333333
"1100",1,1,13,2.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,1.66666666666667,2,1.33333333333333,1.66666666666667,2,4,4,3
"1101",1,1,15,3.33333333333333,3.66666666666667,2,2,4,4,3.66666666666667,2.66666666666667,3.33333333333333,3,5,4.33333333333333
"1102",1,1,13,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,3,2.66666666666667,2.33333333333333,2.33333333333333,3.66666666666667,5
"1103",1,2,13,2.66666666666667,3,2.33333333333333,3.66666666666667,3.66666666666667,4,2.66666666666667,3.33333333333333,2.66666666666667,4,4.66666666666667,3.33333333333333
"1104",1,2,13,2.33333333333333,2.66666666666667,2,4,4,3.33333333333333,2,4,2.66666666666667,4,4,4
"1105",1,2,13,2.33333333333333,2.66666666666667,2,3.33333333333333,3,4,2.66666666666667,3.66666666666667,2.66666666666667,3,3.66666666666667,3.66666666666667
"1106",1,2,13,2.66666666666667,2.33333333333333,2.33333333333333,3.66666666666667,3.33333333333333,3,3.66666666666667,2.66666666666667,3,3.33333333333333,3.66666666666667,2.66666666666667
"1107",1,2,14,3.33333333333333,3.33333333333333,3,3.66666666666667,4,4,3.33333333333333,3,2.66666666666667,3.66666666666667,3.66666666666667,2.66666666666667
"1108",1,2,13,3.66666666666667,3.66666666666667,1.66666666666667,3,2.33333333333333,4,3.66666666666667,4,3,3.66666666666667,3,3.33333333333333
"1109",1,2,13,3.66666666666667,3.66666666666667,3.66666666666667,4,4,4,4,4,3.66666666666667,4,4,4.66666666666667
"1110",1,1,13,3.66666666666667,3,1,2.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,3,3,3.33333333333333
"1111",1,2,13,2.66666666666667,3.33333333333333,3.33333333333333,4,2.66666666666667,3.33333333333333,2.33333333333333,2.33333333333333,3,4,4.33333333333333,3.33333333333333
"1112",1,1,13,3.33333333333333,3.66666666666667,2.66666666666667,4,3.66666666666667,4,3.33333333333333,4,3,3.33333333333333,4,4
"1113",1,1,13,3.33333333333333,3.66666666666667,2.66666666666667,2.66666666666667,4,3,3.33333333333333,3,3,4,3.33333333333333,4
"1114",1,1,13,2,3.33333333333333,2.66666666666667,2.66666666666667,2.33333333333333,2.5,3,1,2.66666666666667,2.66666666666667,3,3
"1115",1,1,13,3.66666666666667,3,3,3.66666666666667,3,3.66666666666667,3,2.66666666666667,3.33333333333333,3,4,2.33333333333333
